OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,Location,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
11010019,1/5/2011,9:00,1/5/2011,10:10:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,"Student Success Center - 219 Uncle Heinie Way, NW",Student Success Center,219,NULL,"Uncle Heinie Way, NW",NULL,NULL,1
11010020,1/5/2011,13:50,1/5/2011,14:15:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,"Glenn Residence Hall   16   Z2 - 118 Bobby Dodd Way, NW, Room 330",Glenn Residence Hall   16   Z2,118,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
11010021,1/5/2011,7:00,NULL,NULL,7399,Miscellaneous Offenses,Further Investigation,NULL,ONCAM,Z3,"Georgia Tech Police Department - 879 Hemphill Avenue, NW",Georgia Tech Police Department,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
11010022,1/5/2011,8:00,1/5/2011,17:00:00,2399,Larceny Offense Free Text,Inactive,NULL,NONCAM,Z2,"Kappa Alpha Fraternity   310   Z2 - 801 Techwood Drive, NW",Kappa Alpha Fraternity   310   Z2,801,NULL,"Techwood Drive, NW",NULL,NULL,1
11010023,1/5/2011,6:33,1/5/2011,22:25:00,2308,Larceny – From Building,Closed/Cleared,Unfounded,ONCAM,Z2,Georgia Tech Hotel & Conference Center   171  Z2 - 800 Spring Street NW,Georgia Tech Hotel & Conference Center   171  Z2,800,NULL,Spring Street NW,NULL,NULL,1
11010024,1/5/2011,6:50,1/5/2011,22:00:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z2,"Georgia Tech Hotel & Conference Center - 800 Spring Street NW, room 321",Georgia Tech Hotel & Conference Center,800,NULL,Spring Street NW,NULL,NULL,1
11010026,1/6/2011,10:10,1/6/2011,10:30:00,7399,Miscellaneous Offenses,Inactive,NULL,ONCAM,Z4,"Advanced Wood Lab  158   Z4 - 676 Marietta Street, NW",Advanced Wood Lab  158   Z4,676,NULL,"Marietta Street, NW",NULL,NULL,1
11010027,1/6/2011,14:41,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,NULL,Miscellaneous Campus Location,Miscellaneous Campus Location,NULL,NULL,NULL,NULL,NULL,1
11010029,1/6/2011,17:26,1/6/2011,17:28:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,Z1,"Center Street, NW @ 10th Street, NW","Center Street, NW @ 10th Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010030,1/5/2011,15:00,1/5/2011,18:00:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z2,"Campus Recreation Center - 750 Ferst Drive, NW",Campus Recreation Center,750,NULL,"Ferst Drive, NW",NULL,NULL,1
11010031,1/6/2011,23:10,1/6/2011,23:15:00,7399,Miscellaneous Offenses,Closed/Cleared,Unfounded,ONCAM,Z1,"Institute of Paper Science Technology - 575 Fourteenth Street, NW, Rear Parking Lot",Institute of Paper Science Technology,575,NULL,"Fourteenth Street, NW",NULL,NULL,1
11010032,1/7/2011,2:09,NULL,NULL,2399,Larceny Offense Free Text,Inactive,NULL,ONCAM,Z2,"Clough Undergraduate Learning Commons Construction Site - 258 Fourth Street, NW",Clough Undergraduate Learning Commons Construction Site,258,NULL,"Fourth Street, NW",NULL,NULL,1
11010036,1/7/2011,14:18,NULL,NULL,2999,Damage to Property Offense Free Text,Further Investigation,NULL,ONCAM,Z2,"Harris Residence Hall   11   Z2 - 633 Techwood Drive, NW",Harris Residence Hall   11   Z2,633,NULL,"Techwood Drive, NW",NULL,NULL,1
11010037,1/7/2011,23:39,1/8/2011,NULL,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,NULL,"Northside Drive, NW @ Ethel Street, NW","Northside Drive, NW @ Ethel Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010038,1/8/2011,14:20,1/8/2011,14:55:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z4,"Campus Recreation Center   122   Z4 - 750 Ferst Drive, NW",Campus Recreation Center   122   Z4,750,NULL,"Ferst Drive, NW",NULL,NULL,1
11010039,1/8/2011,13:45,1/8/2011,14:46:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z4,"Eighth Street Apartments   130   Z4 - 555 Eighth Street, NW",Eighth Street Apartments   130   Z4,555,NULL,"Eighth Street, NW",NULL,NULL,1
11010041,1/8/2011,15:59,1/8/2011,16:30:00,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,"Northside Drive, NW @ Eighth Street, NW","Northside Drive, NW @ Eighth Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010042,1/8/2011,2:00,1/8/2011,2:30:00,2902,Damage to Property – Private,Inactive,NULL,NONCAM,Z2,"Tau Kappa Epsilon Fraternity   327  Z1 - 159 Fifth Street, NW",Tau Kappa Epsilon Fraternity   327  Z1,159,NULL,"Fifth Street, NW",NULL,NULL,1
11010043,1/8/2011,19:15,1/8/2011,19:52:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,"Institute of Paper Science #2 (Lasalle Bldg.) - 575 Fourteenth Street, NW",Institute of Paper Science #2 (Lasalle Bldg.),575,NULL,"Fourteenth Street, NW",NULL,NULL,1
11010044,1/9/2011,0:54,1/9/2011,1:17:00,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Cherry Street, NW","North Avenue, NW @ Cherry Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010045,1/9/2011,11:15,1/9/2011,11:50:00,7399,Miscellaneous Offenses,Inactive,NULL,PUB,Z1,"Fire Lane - 800 Block Fowler Street, NW","Fire Lane - 800 Block Fowler Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010046,1/7/2011,18:00,1/8/2011,11:00:00,2317,Larceny – Bicycle,Further Investigation,NULL,ONCAMRES,Z4,"Undergraduate Living Center - 580 Turner Place, NW",Undergraduate Living Center,580,NULL,"Turner Place, NW",NULL,NULL,1
11010047,1/9/2011,19:29,1/9/2011,20:01:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z4,"Crecine Apartments - 900 Hemphill Avenue, NW, Room 308",Crecine Apartments,900,NULL,"Hemphill Avenue, NW",NULL,NULL,1
11010048,1/9/2011,20:20,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,"Stamps Student Center Common 114  Z3 - 350 Ferst Drive, NW, First Floor",Stamps Student Center Common 114  Z3,350,NULL,"Ferst Drive, NW",NULL,NULL,1
11010049,1/10/2011,14:40,1/10/2011,15:10:00,5707,Criminal Trespass,Closed/Cleared,Prosecution Declined,ONCAM,Z3,"Clough Undergraduate Learing Commons - Fourth Street, NW at Research Drive, NW, Construction Area",Clough Undergraduate Learing Commons,NULL,NULL,"Fourth Street, NW at Research Drive, NW",NULL,NULL,1
11010050,1/10/2011,19:00,1/11/2011,6:45:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,"Beringause Building   46   Z1 - 879 Hemphill Avenue, NW",Beringause Building   46   Z1,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
11010051,1/11/2011,13:48,NULL,NULL,5006,Obstructing Justice,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,"Ferst Drive, NW @ Cherry Street, NW","Ferst Drive, NW @ Cherry Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010052,1/12/2011,22:00,NULL,NULL,7399,Miscellaneous Offenses,Inactive,NULL,ONCAMRES,Z2,"Glenn Residence Hall   16   Z2 - 118 Bobby Dodd Way, NW, Room 310",Glenn Residence Hall   16   Z2,118,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
11010053,1/8/2011,20:00,1/9/2011,8:00:00,2399,Larceny Offense Free Text,Inactive,NULL,ONCAM,NULL,"Ethel Street Warehouse   169 - 650 Ethel Street, NW",Ethel Street Warehouse   169,650,NULL,"Ethel Street, NW",NULL,NULL,1
11010054,1/13/2011,11:30,NULL,NULL,7399,Miscellaneous Offenses,Further Investigation,NULL,ONCAM,Z2,"Cloudman Residence Hall - 661 Techwood Drive, NW",Cloudman Residence Hall,661,NULL,"Techwood Drive, NW",NULL,NULL,1
11010056,1/13/2011,15:40,1/13/2011,15:46:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,"Beringause Building   46   Z1 - 879 Hemphill Avenue, NW",Beringause Building   46   Z1,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
11010057,1/13/2011,16:55,1/13/2011,16:56:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,Z4,"Hemphill Avenue, NW @ Tenth Street, NW","Hemphill Avenue, NW @ Tenth Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010058,1/10/2011,17:00,NULL,NULL,5309,Harassing Communication,Inactive,NULL,NONCAM,Z1,"Alpha Gamma Delta Sorority   333   Z1 - 177 Fifth Street, NW",Alpha Gamma Delta Sorority   333   Z1,177,NULL,"Fifth Street, NW",NULL,NULL,1
11010059,1/13/2011,19:20,1/13/2011,19:21:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,"Beringause Building - 879 Hemphill Avenue, NW, Rear Parking Lot",Beringause Building,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
11010060,1/14/2011,1:10,NULL,NULL,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,"Armstrong Residence Hall - 489 Eighth Street, NW, Room 313",Armstrong Residence Hall,489,NULL,"Eighth Street, NW",NULL,NULL,1
11010061,1/14/2011,8:40,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,Z2,"Substation Drive, NW @ Fowler Street, NW","Substation Drive, NW @ Fowler Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010064,1/15/2011,21:45,1/15/2011,22:50:00,4802,Obstructing Officer/Criminal Investigation,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,"Undergraduate Living Center  64   Z4 - 580 Turner Place NW, Room 126",Undergraduate Living Center  64   Z4,580,NULL,Turner Place NW,NULL,NULL,1
11010065,1/15/2011,2:19,1/15/2011,2:41:00,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,"Harrison Residence Hall   14   Z2 - 660 Williams Street NW, rm 315",Harrison Residence Hall   14   Z2,660,NULL,Williams Street NW,NULL,NULL,1
11010066,1/15/2011,1:15,1/15/2011,3:10:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,"North Avenue Apartments - 120 North Avenue, NW, West - Room 512",North Avenue Apartments,120,NULL,"North Avenue, NW",NULL,NULL,1
11010067,1/15/2011,2:49,1/15/2011,6:30:00,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z2,"500 block Centennial Olympic Park Drive, NW","500 block Centennial Olympic Park Drive, NW",NULL,NULL,NULL,NULL,NULL,1
11010068,1/15/2011,3:00,1/15/2011,3:10:00,2308,Larceny – From Building,Inactive,NULL,NONCAM,Z1,"Phi Sigma Kappa Fraternity   319   Z1 - 825 Techwood Drive, NW",Phi Sigma Kappa Fraternity   319   Z1,825,NULL,"Techwood Drive, NW",NULL,NULL,1
11010069,1/15/2011,4:15,1/15/2011,4:31:00,5707,Criminal Trespass,Further Investigation,NULL,ONCAMRES,Z2,"Cloudman Residence Hall   13  Z2 - 661 Techwood Drive, NW, Room 401",Cloudman Residence Hall   13  Z2,661,NULL,"Techwood Drive, NW",NULL,NULL,1
11010070,1/15/2011,10:31,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z1,Tenth Street & I75/85  Z1,Tenth Street & I75/85  Z1,NULL,NULL,NULL,NULL,NULL,1
11010071,1/15/2011,10:10,NULL,NULL,2502,Forgery – of Other Object,Closed/Cleared,Prosecution Declined,ONCAM,Z2,"Brittain Dining Hall - 649 Techwood Drive, NW",Brittain Dining Hall,649,NULL,"Techwood Drive, NW",NULL,NULL,1
11010072,1/15/2011,2:30,1/15/2011,4:00:00,5707,Criminal Trespass,Inactive,NULL,ONCAMRES,Z2,"North Avenue Apartments North Building - 120 North Avenue, NW",North Avenue Apartments North Building,120,NULL,"North Avenue, NW",NULL,NULL,1
11010073,1/15/2011,22:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,"North Avenue Apartments - 120 North Avenue, NW, Turn-Around",North Avenue Apartments,120,NULL,"North Avenue, NW",NULL,NULL,1
11010074,1/16/2011,11:10,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z1,"Tenth Street, NW @ State Street, NW","Tenth Street, NW @ State Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010075,1/16/2011,11:50,1/16/2011,12:40:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,NULL,"West Peachtree Street, NW @ Biltmore Place, NW","West Peachtree Street, NW @ Biltmore Place, NW",NULL,NULL,NULL,NULL,NULL,1
11010077,1/16/2011,19:15,1/16/2011,21:45:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,"Peters Parking Deck   8   Z2 - 749 Fowler Street, NW",Peters Parking Deck   8   Z2,749,NULL,"Fowler Street, NW",NULL,NULL,1
11010078,1/16/2011,19:10,1/16/2011,22:00:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,Peters Parking Deck   8   Z2 - 749 Fowler Street NW,Peters Parking Deck   8   Z2,749,NULL,Fowler Street NW,NULL,NULL,1
11010079,1/16/2011,17:45,1/16/2011,22:05:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,Peters Parking Deck   8   Z2 - 749 Fowler Street NW,Peters Parking Deck   8   Z2,749,NULL,Fowler Street NW,NULL,NULL,1
11010080,1/16/2011,17:30,1/16/2011,22:10:00,5707,Criminal Trespass,Inactive,NULL,ONCAM,Z2,"Peters Parking Deck   8   Z2 - 749 Fowler Street, NW",Peters Parking Deck   8   Z2,749,NULL,"Fowler Street, NW",NULL,NULL,1
11010081,1/16/2011,18:45,1/16/2011,21:31:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,"Peters Parking Deck   8   Z2 - 749 Fowler Street, NW",Peters Parking Deck   8   Z2,749,NULL,"Fowler Street, NW",NULL,NULL,1
11010083,1/16/2011,22:19,1/16/2011,23:09:00,3562,Marijuana – Possession of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,"Howell Residence Hall   10   Z2 - 640 Williams Street, NW, Room 312",Howell Residence Hall   10   Z2,640,NULL,"Williams Street, NW",NULL,NULL,1
11010084,1/17/2011,0:00,1/17/2011,0:15:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z1,Tau Kappa Epsilon Fraternity   327  Z1 - 159 Fifth Street NW,Tau Kappa Epsilon Fraternity   327  Z1,159,NULL,Fifth Street NW,NULL,NULL,1
11010085,1/17/2011,12:30,1/17/2011,13:16:00,2301,Pocket Picking,Closed/Cleared,Unfounded,ONCAM,Z2,"Brittain Dining Hall - 649 Techwood Drive, NW",Brittain Dining Hall,649,NULL,"Techwood Drive, NW",NULL,NULL,1
11010086,1/15/2011,5:00,1/15/2011,5:00:00,2308,Larceny – From Building,Inactive,NULL,NONCAM,Z2,"Sigma Nu Fraternity   325   Z2 - 750 Fowler Street, NW",Sigma Nu Fraternity   325   Z2,750,NULL,"Fowler Street, NW",NULL,NULL,1
11010087,1/17/2011,18:00,1/17/2011,18:05:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,OFFCAM,"600 Block North Avenue, NW","600 Block North Avenue, NW",NULL,NULL,NULL,NULL,NULL,1
11010088,1/17/2011,23:37,1/17/2011,23:37:00,2999,Damage to Property Offense Free Text,Closed/Cleared,Unfounded,ONCAM,Z2,Third Street Tunnel Z2 -  Bobby Dodd Way @ Williams Street,NULL,NULL,NULL,NULL,NULL,NULL,1
11010089,1/14/2011,16:30,1/18/2011,8:50:00,2902,Damage to Property – Private,Inactive,NULL,ONCAMRES,Z2,"North Avenue Apartments North Building - 120 North Avenue, NW, Room 322",North Avenue Apartments North Building,120,NULL,"North Avenue, NW",NULL,NULL,1
11010090,1/13/2011,16:30,1/17/2011,18:00:00,7399,Miscellaneous Offenses,Inactive,NULL,NONCAM,Z3,Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,1
11010091,1/11/2011,18:00,1/18/2011,12:45:00,5707,Criminal Trespass,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,"North Avenue Apartments South Building - 120 North Avenue, NW, Room 519",North Avenue Apartments South Building,120,NULL,"North Avenue, NW",NULL,NULL,1
11010093,1/16/2011,17:00,1/18/2011,18:00:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z1,"Center Street Apartments   132  Z1 - 939 Hemphill Avenue, NW",Center Street Apartments   132  Z1,939,NULL,"Hemphill Avenue, NW",NULL,NULL,1
